Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7404631390535854,0.25591482649842273,0.5998151571164511,0.3587617468214483,0.7508514606163735
Random Forest,0.8779505537532163,0.15384615384615385,0.0018484288354898336,0.0036529680365296802,0.7453586956496168
XGBoost,0.7107058955140396,0.23743016759776536,0.6284658040665434,0.3446528129751647,0.7437258227413914
LightGBM,0.702315695267927,0.23639398998330552,0.6543438077634011,0.34731420161883736,0.7483939466014153
